gene	Region enrichment in Frontal	Region enrichment in Mot.Som.	Region enrichment in Occipital	Region enrichment in Temporal	Gradient pattern	Subtype enrichment in vRG HMGA2 CCND1	Subtype enrichment in vRG SAT1 STMN2
NNAT	1	1	0	0	1-1-0-0	1	0
ADAMTS19	1	1	0	0	1-1-0-0	1	0
COL9A3	1	1	0	0	1-1-0-0	1	0
MDM1	1	1	0	0	1-1-0-0	1	0
RBP1	1	1	0	0	1-1-0-0	1	0
LRRN1	1	1	0	0	1-1-0-0	1	0
KLHDC8A	1	1	0	0	1-1-0-0	1	0
AIF1L	1	1	0	0	1-1-0-0	1	0
CLIC4	1	1	0	0	1-1-0-0	1	0
EFNB1	1	1	0	0	1-1-0-0	1	0
EFNB2	1	1	0	0	1-1-0-0	1	0
MAP2	1	1	0	0	1-1-0-0	1	0
POU3F3	1	1	0	0	1-1-0-0	1	0
MPPED2	1	1	0	0	1-1-0-0	1	0
PTN	1	1	0	0	1-1-0-0	1	0
SLC1A3	1	1	0	0	1-1-0-0	1	0
DOK5	1	1	0	0	1-1-0-0	1	0
TUBB2B.1	1	1	0	0	1-1-0-0	1	0
HOPX	1	1	0	0	1-1-0-0	1	0
LOC106993104	1	1	0	0	1-1-0-0	1	0
ZFHX4	1	1	0	0	1-1-0-0	1	0
FABP7	1	1	0	0	1-1-0-0	1	0
SAT1	1	1	0	0	1-1-0-0	1	0
HSPB1	1	1	0	0	1-1-0-0	1	0
ID2	1	1	0	0	1-1-0-0	1	0
OLFM2	1	1	0	0	1-1-0-0	1	0
DPYSL3	1	1	0	0	1-1-0-0	1	0
SLC35F1	1	1	0	0	1-1-0-0	1	0
NFIA	1	1	0	0	1-1-0-0	1	0
CDON	1	1	0	0	1-1-0-0	1	0
SHC3	1	1	0	0	1-1-0-0	1	0
NCAN	1	1	0	0	1-1-0-0	1	0
B3GAT2	1	1	1	0	1-1-1-0	0	1
KLHDC8A	1	1	1	0	1-1-1-0	0	1
SPINK2	1	1	1	0	1-1-1-0	0	1
SAT1	1	1	1	0	1-1-1-0	0	1
MFAP2	1	1	1	0	1-1-1-0	0	1
HOPX	1	1	1	0	1-1-1-0	0	1
LOC114671881	1	1	1	0	1-1-1-0	0	1
NFIC	1	1	1	0	1-1-1-0	0	1
OLFM2	1	1	1	0	1-1-1-0	0	1
NFIX	1	1	1	0	1-1-1-0	0	1
SLC35F1	1	1	1	0	1-1-1-0	0	1
CDON	1	1	1	0	1-1-1-0	0	1
GSPT1	1	1	0	1	1-1-0-1	0	1
PRPF4B	1	1	0	1	1-1-0-1	0	1
SFRP1	1	1	0	1	1-1-0-1	0	1
CBX5	1	1	0	1	1-1-0-1	0	1
LOC109910386	1	1	0	1	1-1-0-1	0	1
LOC698383	1	1	0	1	1-1-0-1	0	1
BCL11B	1	1	0	1	1-1-0-1	0	1
BPTF	1	1	0	1	1-1-0-1	0	1
TNRC6B	1	1	0	1	1-1-0-1	0	1
PAK2	1	1	0	1	1-1-0-1	0	1
TUT4	1	1	0	1	1-1-0-1	0	1
ADGRV1	1	1	0	1	1-1-0-1	0	1
LIMCH1	1	1	0	1	1-1-0-1	0	1
DCLK1	1	1	0	1	1-1-0-1	0	1
CHL1	1	1	0	1	1-1-0-1	0	1
ATP1A2	1	1	0	1	1-1-0-1	0	1
CELF2	1	1	0	1	1-1-0-1	0	1
PCSK1N	1	0	1	0	1-0-1-0	1	0
BAG1	1	0	1	0	1-0-1-0	1	0
DNAJA2	1	0	1	0	1-0-1-0	1	0
TUT4	1	0	1	0	1-0-1-0	1	0
CDC34	1	0	1	0	1-0-1-0	1	0
TET1	1	0	1	0	1-0-1-0	1	0
HBE1	1	0	1	0	1-0-1-0	1	0
CSNK2A2	1	0	1	0	1-0-1-0	1	0
ARF5	1	0	1	0	1-0-1-0	1	0
HOMER3	1	0	1	0	1-0-1-0	1	0
LOC707117	1	0	1	0	1-0-1-0	1	0
NAE1	1	0	1	0	1-0-1-0	1	0
RPS23.1	1	0	1	0	1-0-1-0	1	0
NXN	1	0	1	0	1-0-1-0	1	0
PPP1R14B	1	0	1	0	1-0-1-0	1	0
C1QTNF4	1	0	1	0	1-0-1-0	1	0
MTPN	1	0	1	0	1-0-1-0	1	0
BRD1	1	0	1	0	1-0-1-0	1	0
LOC708725	1	0	1	0	1-0-1-0	1	0
REX1BD	1	0	1	0	1-0-1-0	1	0
EID2	1	0	1	0	1-0-1-0	1	0
ZFPM1	1	0	1	0	1-0-1-0	1	0
AASDHPPT	1	0	1	0	1-0-1-0	1	0
DIPK1B	1	0	1	0	1-0-1-0	1	0
GNAI2	1	0	1	0	1-0-1-0	1	0
ENDOG	1	0	1	0	1-0-1-0	1	0
BRD7	1	0	1	0	1-0-1-0	1	0
PABPN1	1	0	1	0	1-0-1-0	1	0
ABHD17A	1	0	1	0	1-0-1-0	1	0
RHOBTB3	1	0	1	0	1-0-1-0	1	0
MBD2	1	0	1	0	1-0-1-0	1	0
PRKAR2A	1	0	1	0	1-0-1-0	1	0
UBE2M	1	0	1	0	1-0-1-0	1	0
CDC5L	1	0	1	0	1-0-1-0	1	0
BCL7C	1	0	1	0	1-0-1-0	1	0
APRT	1	0	1	0	1-0-1-0	1	0
TRAPPC5	1	0	1	0	1-0-1-0	1	0
RPS15A	1	0	1	0	1-0-1-0	1	0
MSH6	1	0	1	0	1-0-1-0	1	0
LOC100499503	1	0	1	0	1-0-1-0	1	0
NCBP2AS2	1	0	1	0	1-0-1-0	1	0
B3GALT6	1	0	1	0	1-0-1-0	1	0
ND3	1	0	1	0	1-0-1-0	1	0
LOC107000233	1	0	1	0	1-0-1-0	1	0
LIX1	1	0	1	0	1-0-1-0	1	0
RSBN1L	1	0	1	0	1-0-1-0	1	0
HDGFL2	1	0	1	0	1-0-1-0	1	0
ACBD3	1	0	1	0	1-0-1-0	1	0
LOC114674534	1	0	1	0	1-0-1-0	1	0
GLOD4	1	0	1	0	1-0-1-0	1	0
HES5	1	0	1	0	1-0-1-0	1	0
SRPK1	1	0	1	0	1-0-1-0	1	0
BOD1	1	0	1	0	1-0-1-0	1	0
LOC693820	1	0	1	0	1-0-1-0	1	0
SRSF9	1	0	1	0	1-0-1-0	1	0
MRPS34	1	0	1	0	1-0-1-0	1	0
URI1	1	0	1	0	1-0-1-0	1	0
FUOM	1	0	1	0	1-0-1-0	1	0
CNIH2	1	0	1	0	1-0-1-0	1	0
GLRX5	1	0	1	0	1-0-1-0	1	0
ALYREF	1	0	1	0	1-0-1-0	1	0
NDUFA12	1	0	1	0	1-0-1-0	1	0
EPB41	1	0	1	0	1-0-1-0	1	0
ANP32A	1	0	1	0	1-0-1-0	1	0
RAB8B	1	0	1	0	1-0-1-0	1	0
LOC106992469	1	0	1	0	1-0-1-0	1	0
SPCS3	1	0	1	0	1-0-1-0	1	0
MAGOHB	1	0	1	0	1-0-1-0	1	0
UBTF	1	0	1	0	1-0-1-0	1	0
GALNT1	1	0	1	0	1-0-1-0	1	0
CBX5	1	0	1	0	1-0-1-0	1	0
CD300LG	1	0	1	0	1-0-1-0	1	0
RPL3.1	1	0	1	0	1-0-1-0	1	0
