E42_FC_early	E42_FC_late	E42_FC_mid	E42_OC_early	E42_OC_late	E42_OC_mid	E77_FC_early	E77_FC_late	E77_FC_mid	E77_OC_early	E77_OC_late	E77_OC_mid
NID1	NID1	ZIC4	FGFR3	LOC114671387	EOMES	IFI16	IFI16	IFI16	NR2F1	NR2F1	NR2F1
COL5A2	COL6A2	COL1A2	DACH1	EPHA3	RSPO3	EFEMP1	FRZB	PRRX1	TMEM132B	TSPAN18	FGFR3
ECM1	COL6A1	ITIH5	LOC107000288	NEUROD6	FGFR3	SPHK1	TPPP3	ARMC3	GABRB1	GRIK2	MDFI
DDR2	NID2	LUM	LHX2	SATB2	LMO1	COL1A1	CYP1B1	RAMP1	LOC114671812	ICOSLG	ALDOC
COL6A2	ITIH5	COL3A1	FRMD5	CUX2	NEUROD4	RASAL1	CTSZ	CAVIN3	CHST1	CHRNE	CHST1
RCN3	LOC695267	CYP1B1	EMX2	SLA	LOC106992821	H19	ADAMTS16	MMRN1	FGFR3	SLC22A3	NR2F2
CDH11	LUM	IGF2	LOC106998526	TBR1	LOC107000617	CTSZ	SALL4	NUAK2	MMD2	THRB	LOC106995967
COL6A1	COL6A3	COL1A1	INHBB	ZBTB18	NHLH1	SEMA3E	RGS3	SPHK1	SHISA6	AJAP1	ST3GAL1
SNAI2	H19	OGN	REV3L	NEUROD2	TFAP2C	LOC707695	SEMA3E	SALL4	SEZ6L	PDGFRA	TMEM132B
MMP25	OGN	COL5A2	MEIS1	NRN1	LOC701364	C1QTNF6	PLXDC1	LOC100427153	ADGRL3	TMEM132B	GABRB1
ENG	DDR2	NID2	LMO2	CHL1	ADGRV1	SPHKAP	HCN1	ADAMTS16	NRXN1	ISLR2	STOM
EMILIN1	JCAD	DCN	LMO3	KCNQ3	PDP1	FBLN7	INPP5D	DAW1	DIPK1C	CHST1	CHST9
ADAMTS2	FNDC1	ADGRA2	COL9A1	LOC694442	MYCN	SLC7A8	CFAP126	FRZB	STOM	LOC106997223	SHD
OLFML1	FBN1	LAMA2	WNT7B	EOMES	MYCL	PLXND1	C2	CYP1B1	DTX4	ADCY1	CNTN3
MSX1	AKAP12	ISLR	DMRTA2	LOC107000617	NRN1	PRDM1	MMRN1	ANXA1	OLIG2	TSHZ3	TSHZ3
COL5A1	DAB2	COLEC12	SOX21	RNF182	EPHA3	MMRN1	ARMC3	CRYBG1	OLIG1	MASP1	GRIK2
COL18A1	CCDC80	COL6A3	SOX3	MYCN	LOC114670458	MYOF	NWD2	SV2C	GSX1	MDFI	NTRK3
CREB3L1	COL5A2	OLFML3	LOC106994123	SHISAL1	LOC696885	PECAM1	ITGA3	MYO3A	LUZP2	ANKRD33B	LOC696885
CD248	DHRS3	H19	ADGRV1	PRDM8	LOC114673584	FNDC1	LOC716834	CTSZ	SOX3	LPAR1	LUZP2
FOXC1	RRBP1	PCOLCE	WNT7A	FGFR3	TC2N	LOC716834	CDKN1A	CFAP43	LOC696885	PCDH15	GASK1A
LAMA2	TMEM132C	ADAMTS12	CDO1	HES6	PRKX	NPY1R	SPP1	CNTN4	TNR	LOC106997222	OMG
RBMS1	COL15A1	COL21A1	NR2E1	LOC106992821	RBM20	FN1	CHRNA3	CFAP61	LRRC10B	COLCA2	ATP1A2
H19	KANK2	CREB3L1	NIM1K	TFAP2C	LOXL4	ITPR1	CAVIN3	CFAP126	VEPH1	ETS2	ERBB3
PLA2R1	CEMIP	ASPN	JPH1	IL33	INHBB	RAMP1	IL13RA1	VWA5B1	GNAO1	PIP5K1B	IL33
BMP4	ITGA8	PDE5A	PLEKHH1	MN1	NEUROG2	PRRX1	BTBD11	ZIC3	IGSF9B	GABRE	TSPAN18
TENT5A	BGN	SPHK1	MYCN	DOK6	NEUROD1	TENM4	THBS1	RBMS3	HIP1R	GRID2IP	LPAR1
FAM129A	COL5A1	PRRX1	DCT	LRRC7	CABP7	GAS7	PRPH	LOC106999572	MN1	VSTM2B	KCNQ3
LTBR	APOD	RBMS3	TFAP2C	LINGO1	SLC1A6	PRPH	CRIP1	TEKT1	GRIA4	PDZD2	OLIG1
EBF1	MMP2	TBX18	C7H15orf41	GRIA2	DACH1	ITGA3	SPARC	DNAH11	MDFI	MAL	CA12
NUPR1	ECM1	BNC2	LOC114671956	SLC17A6	MID1	NGEF	CYP27A1	CYP27A1	LOC106995967	LPCAT1	EEPD1
LAMB1	ADAMTS12	APOD	SHISA6	TMEM132B	LOC106995056	CFAP157	NPY5R	GABRQ	HEY1	SLITRK5	BCAN
HIC1	FBLN5	PLA2R1	MEIS2	LRP8	LHX9	ADAMTS16	PDE1C	BNC2	ADCYAP1R1	FGFR3	LOC106998840
THY1	LAMB1	ALX4	CHST9	SORCS3	LOC106999283	CYP1B1	RBMS3	CRIP1	ICOSLG	ZBTB16	LMO1
SIX1	SERPINH1	FOXC1	EYA4	PLXNA4	LOC114680342	IGF1	BHLHE40	ZIC4	SLC15A2	KCNQ4	LOC114672451
ALX4	OLFML3	MSX1	KCNMB2	CHRDL1	CHRM1	SHISA9	DAW1	MYOF	CDO1	LPA	REPS2
LOC707695	RCN3	CCN4	TOX	LOC106999282	MPP3	COL8A1	HLF	C3H7orf57	BTBD17	HES5	CHRNE
RDH10	CREB3L1	OSR1	NRGN	LOC701364	LOC106998831	OLFML3	CDHR1	FBLN7	LOC106997222	CHST9	OLIG2
TBX18	CYP1B1	CRABP2	VEPH1	PPFIA2	LOC114670570	NPY5R	MYOF	LRRIQ1	MASP1	CA12	PCDH15
PCOLCE	HIC1	POSTN	GNAO1	MAPK11	LOC106998840	RBMS3	CRISPLD1	NEK11	PTGFRN	STUM	SOX13
ADGRA2	FBN2	FRZB	RIMS1	GAP43	LOC100427274	COL5A2	NHS	FAM92B	PTPRT	LOC114674432	DIPK1C
OLFML2A	TGFBR3	TES	CTNND2	LOC696885	KCNQ3	SOD3	VWA5B1	LOC114673061	TAFA5	COL9A1	GRIA4
LOC106999572	SERPINF1	NID1	LOC711872	OLIG2	PRDM8	CAVIN3	MYO5B	CFAP45	SLC6A1	EFHD1	GSX1
SIX2	EGFLAM	ARHGAP20	SLITRK2	SOX21	NR2F1	BRINP1	LRFN2	PRPH	EGFR	LUZP2	TNR
FBLN5	COL26A1	CD248	SLITRK3	LOC716824	TMEM178A	IGFBP3	PSRC1	IRS2	SLITRK2	BTBD17	NDRG2
RIN3	AEBP1	MYOF	IPCEF1	ADGRV1	LOC106999786	STRIP2	PIFO	CFAP157	LAMA1	OLIG1	IGLON5
ITPRIPL2	RBMS3	TMEM132C	KCNA3	HAS2	LOC106999282	TECTB	CFAP45	TPPP3	SLC1A6	CA8	CA8
PLAC9	LAMA2	ECM1	ZCCHC18	CARMIL3	LOC114677687	LRRIQ1	ITPR1	HHAT	REPS2	ADCYAP1R1	MMD2
ITGA11	ELN	TENT5A	METRN	GRM7	SEMA4A	CRIP1	CBLN2	SLC7A8	ALDH1L1	KCNC1	LOC106999276
ITPR3	COL3A1	SIX1	GLI3	LOC114676844	SNTG1	COL19A1	GNG11	TRIM38	LOC106997223	HEY1	NKAIN4
SERPINH1	COL12A1	RCN3	GLDC	CACNA2D1	LOC106999561	SOCS3	LRRIQ1	NPY2R	BCAN	SOX13	NRXN1
IGF2	CLSTN2	COL4A5	PDE3B	CRHR1	LOC716824	CFB	SELENOP	COL19A1	NR2F2	NR2F2	LOC723542
OLFML3	KIAA1755	FBN1	FAM13A	TRIM2	LOC106993097	LOC106993196	FRMD3	EPAS1	SALL2	SNCB	EDNRA
FN1	ADAMTS15	EGFLAM	SLC1A6	SLC1A2	SYNE3	FREM2	SV2C	STPG1	HES5	DAAM2	EAF2
NID2	OLFML2A	GFRA1	HELT	TMEM108	LOC701301	MAMU-AG	CAV1	GALNT18	PCDH15	LOC106998840	CCK
LAMC3	PDE5A	SERPING1	BCAN	CRYAB	GRM2	NEB	FZD5	LRRC9	VCAN	NTRK3	LOC106996139
TMEM119	GSN	CTHRC1	POU6F2	SLIT1	ADAMTSL2	LOC703298	GPNMB	FAM81B	SLC1A4	LOC696885	PDGFRA
ARHGAP28	CFH	GLT8D2	GRIK3	KLHL29	LOC114679021	LOC100427153	CNR1	PRDM1	ERBB3	LOC106992461	SNX22
BGN	ZIC4	JCAD	GPR75	RSPO3	LOC114672408	COL18A1	CFI	COL14A1	ATP1A2	GAL	NKD1
FMOD	FBLN2	TBX15	LOC114673186	GPM6A	WNT7B	GRIA1	CHRNB4	MAP3K19	APCDD1	NKAIN4	DUSP9
TFAP2B	EDNRA	SPARCL1	SLIT1	SOX11	ZBTB18	WDR66	TMEM176B	CD34	SMAD9	DLL1	LOC107000595
TMEM173	SERPING1	ANGPT2	LOC695923	RASGRP1	SLC32A1	CACNA1F	FBLN7	RUNX1	CNTFR	DHRS3	GPR39
PLOD1	MVP	TRIM38	SNTG1	CTTNBP2	SLC17A6	EDIL3	EPHA2	DDR2	TSPAN7	LOC723542	LOC114679021
COL6A3	SPARC	AFAP1L2	FEZF1	SMPD3	LOC114673186	NQO1	LHFPL6	RYR3	LOC699263	ACAN	HEY1
MAB21L1	FRZB	COL12A1	PCDH15	LOC114671812	LDLRAD4	CYP27A1	FGD6	SEMA3E	FXYD6	NT5E	NEUROG2
COL3A1	MYOF	GYPC	KCNQ3	FBXW7	CACNA2D1	SEMA3C	TNFRSF11B	FOXJ1	SATB1	TMEM178A	GAL3ST1
PEAR1	LOXL2	CFH	LOC106998671	ADRA2A	LY6G6C	NHSL2	ANXA1	CFAP77	LHFPL3	ALDOC	SHANK1
COL4A2	PLOD1	ITGA8	DOK6	NRBP2	LOC106998841	MAMU-A3	CPNE6	GNG11	PLXNC1	GALNT16	DACH1
FBN1	EMILIN1	HIC1	SLC44A5	KCND2	PARM1	USH2A	FRMD7	GAS7	LOC106998526	MMRN2	NOD2
ETS1	POSTN	EMILIN1	MFAP3L	CAMKV	SLC17A8	ANXA1	DSG2	C2	EBF4	TSHZ2	SCRG1
STAT6	LOC704750	EPAS1	LOC114679021	RIMKLA	NEUROD6	ZIC3	PLEKHG4B	EOMES	FAM155B	TNC	LPA
KLF2	CXCL12	CPED1	EEF1A2	GPR12	ZNF385B	SAMD5	UNC5D	INPP5D	LMO3	NCALD	LOC699263
FRZB	CRABP2	BMP4	RLBP1	TEX15	AMH	CYB561	DNAH6	ZMYND10	CPNE4	ST3GAL1	BTBD17
COL1A2	LAMA4	LOC703641	LOC106993097	PLPPR4	OLIG2	VWA5B1	PRR29	MAATS1	TNS1	NRXN1	AJAP1
COL1A1	LOC703641	CLDN11	FGFR2	NRXN1	GRM7	SPOCK1	NRN1	TWIST1	RASSF2	KHDRBS2	LOC114674238
SPARC	ADAM12	ELN	GRM7	LOC714119	LOC114678976	RGS3	ALS2CL	WDR63	KLF15	BMPER	LOC114680342
COL21A1	COL16A1	DDR2	PPARGC1A	MLLT3	MYB	SALL4	CFAP54	SHISA9	MGAT3	LOC715706	ATP13A5
LOC720345	ITM2A	ARHGAP29	CHRM3	FSD1	VSX2	KCNA1	DIRAS3	C13H2orf50	PIK3R1	TMEM132D	ITGA9
TES	IGF2	TFAP2A	USP44	MPPED1	LOC114678852	PRICKLE2	FAM81B	PIFO	KBTBD11	GRIA4	MEGF11
CLEC11A	GJA1	SNAI2	LUZP2	TAFA1	LOC114675185	SLC5A3	DNAH11	NPY1R	OMG	GLT1D1	ETS2
HMCN1	FAP	KCNE4	LOC106995659	TOX3	SLC4A10	CHRNB4	FAM92B	EFNA5	ANKRD33B	PTPRE	EYA1
MARVELD1	CTHRC1	FN1	ANGPTL1	LOC106993659	ABTB2	COL6A3	NEUROD2	LOC716834	PLD5	TTYH2	GRM5
SVEP1	THBS2	LRRK1	NUDT10	TMEM151B	SEMA7A	CPXM2	NRP1	DNAH2	NXPH3	OLIG2	SLITRK5
TRIM38	COL4A1	EDNRA	NECAB1	SH3RF3	CLCN1	RYR3	LOC100427153	ITGA3	ADGRB1	EEPD1	MMP16
DAB2	UNC5B	TLL1	LOC106999283	SHTN1	LOC106998671	B3GNT7	RSPH4A	MAMU-A	KCNK10	PPFIA3	KCNA3
F2RL2	CDC42EP5	PDE7B	RGCC	ZMAT1	GDPD3	CHRNA3	USH1G	CDHR1	OPRD1	AGT	MASP1
PRRX1	EMP1	COL18A1	KCNA2	NRGN	CBLN4	LRRC9	COL16A1	NEK5	RGS7	EYA1	CPEB1
ZIC4	CD248	NPR3	FEZF2	EYA4	LOC114676844	DDR2	EMP1	F11R	LOC106995659	LOC716041	LOC696103
AHNAK	MXRA8	OLFML2A	OMG	LOC100430065	CARMIL3	C1QTNF1	COL18A1	CDKN1A	TSHZ3	LOC100427524	LDLRAD4
LOXL2	SPATS2L	MAB21L1	LOC114672451	MASP1	VEPH1	POSTN	DCDC2	HS3ST3A1	C1QL2	CCK	LOC100429518
TMEM200A	CRISPLD2	ZIC3	C19H19orf81	CACNA1B	PDE2A	EMP1	VAV3	CFB	PHKA1	SULF2	LOC106997133
COPZ2	ITGA5	FBN2	SPINK2	CAMK4	LOC107000532	MVP	SNCA	SPAG17	TBKBP1	ASTN2	ALPK1
TBX2	ZIC1	GPC3	EPHA3	LOC106993097	LOC114670471	FAM129B	NECAB1	NTN1	RND1	GPR63	ELFN2
CFH	FSTL1	FGD6	LOC106994058	ZCCHC18	LOC107000562	ZIC4	COL12A1	COL8A1	LTBP4	MFAP4	SCUBE1
CRABP1	PCDH18	RBMS1	LOC106998831	LDLRAD4	LOC100430622	PPL	NDNF	DSP	UNC13A	WDR86	LOC114671109
TRIB3	ARHGAP29	BGN	TOX3	CACNA1H	ARSF	RBM47	PRDM1	NDNF	GRIK3	GALNT14	SLC22A3
OSR1	DCN	GXYLT2	RNF175	GEN1	TBR1	LOC106995402	NPY2R	MSC	TSPAN18	ASMTL	LOC114671812
CCN4	RBMS1	ITGA1	ITGB8	TRIM46	MIR125B-1	LOC718515	CLMP	TFAP2B	CPAMD8	OPRD1	SDR16C5
FOXF2	CCND1	STAT6	SAT1	LOC114676301	HES6	CCDC40	SPHK1	PARM1	GFOD1	SLITRK3	ADAP1
TWIST1	ENG	ZNF488	MOB3B	SLC32A1	SSTR2	UNC5B	NUAK2	GRIA1	RIMS1	HES4	ADGRL3
RNASE4	ASS1	ANPEP	MKRN3	SLC8A1	NAT16	LOC114674288	KCNH5	DNAH6	GASK1A	RRAD	LOC106993659
FSTL1	THSD4	NUPR1	OLIG1	NEUROD4	SLIT1	STK32B	CRYBG1	AK1	OLFML2B	REPS2	PLD5
FAP	ARHGAP20	WNT4	SH3GL2	EEPD1	LOC106998948	TRIM38	PITPNM1	LOC707695	TMEM151B	NT5C1A	ISLR2
DCN	IGFBP4	COL6A2	EEPD1	CNTNAP4	RNF182	SLC35F6	ZNF474	AHRR	NTRK3	BEND4	EGFR
LOC696140	CMBL	GRIN2C	NRARP	DYNC1I1	SST	TPPP3	LOC114673061	PRR29	AMER2	ZNF469	LHFPL3
PTGIS	ISLR	CMBL	CADM1	NFE2L3	LOC100429238	MXRA5	TEKT1	C1QTNF1	LRATD2	LOC107000385	ALOXE3
NPR3	AHNAK	EMILIN2	TIFA	PPFIA3	LCN12	GRIN3A	STPG1	NWD2	SHANK1	TMEM132C	KCNC1
RASL12	IGFBP5	COL15A1	FAM13C	MCUR1	OLIG1	RNF144B	RASEF	C6H5orf49	LOC114671109	LOC114670572	LOC114670993
PDE5A	GPRC5B	FRMD6	LOC106993611	SYBU	LOC107000477	FRMD3	ABCA8	NGEF	MEGF11	B3GAT2	LOC114672452
LOC114677661	GFRA1	LAMB1	C15H9orf24	AQP4	LOC106995018	RGS22	SLCO5A1	MAMU-AG	SEPTIN6	FRMPD1	LOC106997223
COL8A2	ASPN	UNC5B	SYBU	LOC100427274	LOC106994974	EPAS1	TRIM38	ADCYAP1	TTYH2	PPP1R17	LOC114674225
LOC707383	CAVIN1	EMP1	NR2F1	CBLN4	LOC114679643	STPG1	TBR1	GPR1	GRID2	LOC106994123	SLC8A2
EGFLAM	ADAMTS1	DAB2	B3GAT2	MYCL	LAT	C2	KDELR3	PTPRU	LOC106993549	LOC114672689	SOX10
COL4A1	COL1A2	FOXD1	OPRD1	LOC114670899	MME	APOBEC3G	MAP3K19	F2RL1	CA8	TIMP4	PIP5K1B
WNT4	HLF	TMEM45A	ERICH3	B3GAT1	IRX1	OCIAD2	ATP10A	COL18A1	LOC114670993	TNK2	LOC114677479
LIMS2	TGFBI	CAV1	LOC716824	VEPH1	LOC114673583	NEFM	NPY1R	CAV1	GRIK2	DUSP9	LOC100431094
CMKLR1	LRRC17	RAB11FIP1	LOC106999919	NEUROG2	LAG3	PRR29	ZIC4	RIBC2	DSCAM	MYCL	CPNE4
ZFHX3	COL13A1	CAVIN3	BMPR1B	DLL3	LOC114673489	NTRK2	KCNA1	PCDH19	DOC2B	ADAM12	LOC107000222
SHC1	RDH10	ANO1	MOXD1	PRKX	LOC694442	LOC709988	CDH22	VWA3B	RBPMS	PIWIL1	AGT
ADAMTS5	ZBTB7C	ZIC1	CDH20	OLIG1	BTC	SEMA3B	HYDIN	CCDC40	LOC114679021	ARHGDIG	LOC106997013
TIMP1	TAGLN	APOE	LOC106998802	DLL1	KCNN2	GFAP	CACNG5	KIAA2012	WNK2	OMG	LOC106993889
TGFBR3	TES	CTSC	CNIH3	PALMD	TMPRSS7	CFAP126	ERVMER34-1	FAS	PODXL2	LMO1	VEPH1
MTHFD2	RARB	TFAP2B	SLC4A10	LOC106998840	LOC114670526	PERP	SRPX2	SOCS3	LOC106998840	CNTN1	DAPK2
DES	FN1	CCDC80	LOC106999136	FRMD3	LOC114678756	SLC51A	TNFRSF10D	IGSF10	NRGN	PGF	GPR17
THBD	LOC722133	MXRA8	LOC114670830	LOC114672451	PDIA2	FLNC	DNAH1	DNAJB13	GNG7	LOC114669865	KCNK1
DAP	SLC6A9	PDZD2	LOC114679372	VAT1L	ATP4A	MSC	COL4A6	NRN1	ADRB1	ATP13A5	MMP28
SYNPO2	AFAP1L2	SMTNL2	FAM173A	LOC114670471	LOC114669912	MAN1C1	GRAMD2A	EPHA2	EPHB3	SCRG1	LANCL3
MBP	FGD5	ITIH2	NEUROG2	VWA5A	MIR181B-1	LOC114671289	PMAIP1	FREM2	SLITRK5	LOC699263	LOC100429886
PIEZO2	MMP14	COL6A1	LHFPL3	RBFOX1	RASGEF1B	IL1R1	ADRA2A	PRICKLE2	FGFR2	LRRC10B	NT5E
MVP	LHFPL2	RDH10	LOC106999458	ISLR2	LOC709431	CSRP1	DNAH7	SLIT2	LOC713954	ASIC2	EPB41L4B
ACVRL1	SPON2	TBX2	CADM2	GABRG3	CNTN3	IL6R	COL2A1	TNFRSF1B	ATOH8	NRIP2	WDR86
CPQ	CPT1A	EBF1	SIAE	MAN2C1	LOC114673974	CFAP61	ST6GALNAC2	COL1A1	PGF	AFAP1L2	IGSF21
PHLDB2	MFAP4	FBLN2	LOC106999819	LOC106998092	RHBDL3	PARP3	TNFAIP2	DSC2	ID4	CNTN3	KCNN1
JCAD	ROR1	SASH1	FILIP1	RNF112	LOC114676346	MAMU-A	COL8A1	MOGAT2	DACH1	CCDC92B	EVA1A
MEOX2	ITGA1	NGFR	CHRNA4	CLMP	LOC114679372	LOC100430473	PDLIM1	NPY5R	RRAGD	NR0B1	ESPN
FAM114A1	CGNL1	MAN2A1	TNR	TC2N	MIR124A-1	ST8SIA3	HHAT	HYDIN	SLC8A2	KCNK3	LOC114671166
ITGB2	PPP1R3B	TMEM119	FRAT1	CACNA1E	CHL1	DNAH3	EFNA5	GASK1B	BMP2	GABRB1	C1H1orf105
ADAMTSL4	RAB3IL1	HTRA3	LOC106994988	GPC2	CA10	KIAA1217	TMEM176A	IGF2BP2	EEPD1	TMEM100	EFHD1
PRDM6	MARVELD1	COL13A1	SYT6	TBC1D4	OMG	IGFBP7	WDR63	ALDH1A3	ASIC1	SEMA3F	LOC114678801
ALX3	ETS1	RAB3IL1	LOC701364	LOC106999786	HR	KIF26B	GRIN2C	F5	HS6ST2	CRHR1	DEPDC7
ARHGAP24	PDLIM7	FXYD1	ATP8A1	GRM2	RASGRP1	SHTN1	DSP	LOC114671289	PRR5	COLCA1	LOC114679086
ALDH1L2	HEPH	CXCL12	SEPTIN3	SEMA7A	LOC114678844	ERVMER34-1	RGS22	CAPSL	TIMP3	KIT	LINGO1
SPHK1	SULT1E1	TMEM173	INSM1	PDE2A	LOC114673487	MYO5B	CFH	PERP	SOX8	EPB41L4B	LOC715706
PRICKLE1	TIMP1	PPP1R3B	GAL3ST1	POU3F1	SLC24A4	HSPB8	SPOCK2	GRAMD2A	EYA2	NEU4	LOC114678729
ANPEP	COPZ2	ENG	LOC106998203	NCKAP5	LOC106998526	LOC107000707	LCTL	OCIAD2	KCNC1	SYT3	LOC114674395
ELN	ANXA1	SIX2	SEMA4A	KCNN2	LOC114676996	OSMR	CDH12	MAMU-A3	SCRG1	MB21D2	KCNJ11
APOE	TGFBR2	KLF2	S1PR1	PRSS12	ALOXE3	CD109	CALB2	TNFRSF11B	LOC106999276	KHDRBS3	LOC709431
RCAN2	KLF4	ADAMTS15	MME	TMOD1	LOC106999866	ZNF423	CYB561	GPR37L1	LOC100430850	SLITRK4	NR0B1
